player_id,gp,pass_att,pass_cmp,pass_yd,pass_td,pass_int,pass_sack,pass_air_yd,pass_rz_att,rush_att,rush_yd,rush_td,rush_btkl,rush_yac,rush_rz_att,rush_tkl_loss,rec,rec_tgt,rec_yd,rec_td,rec_air_yd,rec_yar,rec_drop,rec_rz_tgt,fum,fum_lost,st_td,off_snp,tm_off_snp,bonus_pass_yd_300,bonus_pass_yd_400,bonus_rush_yd_100,bonus_rush_yd_200,bonus_rec_yd_100,bonus_rec_yd_200,season,position,points_freedom,points_uww,ppg_freedom,ppg_uww,pos_rank_freedom_tot,pos_rank_freedom_per,rank_freedom_tot,rank_freedom_per,pos_rank_uww_tot,pos_rank_uww_per,rank_uww_tot,rank_uww_per,starter_freedom,starter_uww
3648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,TE,0.0,0.0,,,97.0,,484.0,,97.0,,483.0,,False,False
7619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,WR,0.0,0.0,,,188.0,,484.0,,188.0,,483.0,,False,False
13409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,WR,0.0,0.0,,,188.0,,484.0,,188.0,,483.0,,False,False
7585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,QB,0.0,0.0,,,71.0,,484.0,,70.0,,483.0,,False,False
12399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,WR,0.0,0.0,,,188.0,,484.0,,188.0,,483.0,,False,False
14076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,RB,0.0,0.0,,,131.0,,484.0,,131.0,,483.0,,False,False
8931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,WR,0.0,0.0,,,188.0,,484.0,,188.0,,483.0,,False,False
8633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,WR,0.0,0.0,,,188.0,,484.0,,188.0,,483.0,,False,False
2359,16.0,,,,,,,,,8.0,42.0,,,17.0,1.0,,8.0,9.0,58.0,2.0,-5.0,63.0,,3.0,,,,77.0,1109.0,,,,,,,2020,RB,30.0,30.0,1.9,1.9,89.0,103.0,312.0,377.0,89.0,103.0,311.0,374.0,False,False
8241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,QB,0.0,0.0,,,71.0,,484.0,,70.0,,483.0,,False,False
5854,13.0,443.0,254.0,2933.0,16.0,15.0,19.0,1530.0,50.0,44.0,160.0,3.0,,8.0,9.0,,,,,,,,,,8.0,3.0,,850.0,918.0,2.0,,,,,,2020,QB,183.3,156.7,14.1,12.1,23.0,29.0,78.0,82.0,23.0,29.0,104.0,100.0,False,True
2936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,RB,0.0,0.0,,,131.0,,484.0,,131.0,,483.0,,False,False
3211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,RB,0.0,0.0,,,131.0,,484.0,,131.0,,483.0,,False,False
7593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,RB,0.0,0.0,,,131.0,,484.0,,131.0,,483.0,,False,False
6489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,QB,0.0,0.0,,,71.0,,484.0,,70.0,,483.0,,False,False
7614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,RB,0.0,0.0,,,131.0,,484.0,,131.0,,483.0,,False,False
12832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,WR,0.0,0.0,,,188.0,,484.0,,188.0,,483.0,,False,False
12809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,WR,0.0,0.0,,,188.0,,484.0,,188.0,,483.0,,False,False
6966,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,,,,,,,2020,RB,0.0,0.0,0.0,0.0,131.0,131.0,484.0,484.0,131.0,131.0,483.0,483.0,False,False
4548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,RB,0.0,0.0,,,131.0,,484.0,,131.0,,483.0,,False,False
12354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,TE,0.0,0.0,,,97.0,,484.0,,97.0,,483.0,,False,False
3021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,WR,0.0,0.0,,,188.0,,484.0,,188.0,,483.0,,False,False
11579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,RB,0.0,0.0,,,131.0,,484.0,,131.0,,483.0,,False,False
3294,5.0,222.0,151.0,1856.0,9.0,4.0,10.0,1039.0,20.0,18.0,93.0,3.0,2.0,28.0,6.0,1.0,1.0,1.0,11.0,1.0,10.0,1.0,,1.0,3.0,3.0,,354.0,380.0,,3.0,,,,,2020,QB,143.6,124.5,28.7,24.9,28.0,1.0,122.0,2.0,28.0,2.0,142.0,6.0,False,False
4031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,TE,0.0,0.0,,,97.0,,484.0,,97.0,,483.0,,False,False
13301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,WR,0.0,0.0,,,188.0,,484.0,,188.0,,483.0,,False,False
7274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,WR,0.0,0.0,,,188.0,,484.0,,188.0,,483.0,,False,False
5359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,WR,0.0,0.0,,,188.0,,484.0,,188.0,,483.0,,False,False
3609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,WR,0.0,0.0,,,188.0,,484.0,,188.0,,483.0,,False,False
